,name,sex,count
1880-01-01,Amelia,F,221.0
1881-01-01,Amelia,F,235.0
1882-01-01,Amelia,F,252.0
1883-01-01,Amelia,F,262.0
1884-01-01,Amelia,F,315.0
1885-01-01,Amelia,F,298.0
1886-01-01,Amelia,F,326.0
1887-01-01,Amelia,F,344.0
1888-01-01,Amelia,F,358.0
1889-01-01,Amelia,F,346.0
1890-01-01,Amelia,F,368.0
1891-01-01,Amelia,F,353.0
1892-01-01,Amelia,F,385.0
1893-01-01,Amelia,F,385.0
1894-01-01,Amelia,F,390.0
1895-01-01,Amelia,F,379.0
1896-01-01,Amelia,F,365.0
1897-01-01,Amelia,F,408.0
1898-01-01,Amelia,F,360.0
1899-01-01,Amelia,F,332.0
1900-01-01,Amelia,F,398.0
1901-01-01,Amelia,F,350.0
1902-01-01,Amelia,F,355.0
1903-01-01,Amelia,F,347.0
1904-01-01,Amelia,F,353.0
1905-01-01,Amelia,F,365.0
1906-01-01,Amelia,F,358.0
1907-01-01,Amelia,F,380.0
1908-01-01,Amelia,F,370.0
1909-01-01,Amelia,F,388.0
1910-01-01,Amelia,F,449.0
1911-01-01,Amelia,F,430.0
1912-01-01,Amelia,F,672.0
1913-01-01,Amelia,F,721.0
1914-01-01,Amelia,F,926.0
1915-01-01,Amelia,F,1115.0
1916-01-01,Amelia,F,1159.0
1917-01-01,Amelia,F,1160.0
1918-01-01,Amelia,F,1115.0
1919-01-01,Amelia,F,1085.0
1920-01-01,Amelia,F,1054.0
1921-01-01,Amelia,F,995.0
1922-01-01,Amelia,F,1032.0
1923-01-01,Amelia,F,965.0
1924-01-01,Amelia,F,910.0
1925-01-01,Amelia,F,889.0
1926-01-01,Amelia,F,746.0
1927-01-01,Amelia,F,754.0
1928-01-01,Amelia,F,755.0
1929-01-01,Amelia,F,687.0
1930-01-01,Amelia,F,679.0
1931-01-01,Amelia,F,591.0
1932-01-01,Amelia,F,637.0
1933-01-01,Amelia,F,608.0
1934-01-01,Amelia,F,553.0
