,name,sex,count
1880-01-01,Glenn,M,43.0
1881-01-01,Glenn,M,45.0
1882-01-01,Glenn,M,51.0
1883-01-01,Glenn,M,65.0
1884-01-01,Glenn,M,61.0
1885-01-01,Glenn,M,68.0
1886-01-01,Glenn,M,99.0
1887-01-01,Glenn,M,86.0
1888-01-01,Glenn,M,110.0
1889-01-01,Glenn,M,103.0
1890-01-01,Glenn,M,117.0
1891-01-01,Glenn,M,138.0
1892-01-01,Glenn,M,139.0
1893-01-01,Glenn,M,131.0
1894-01-01,Glenn,M,142.0
1895-01-01,Glenn,M,150.0
1896-01-01,Glenn,M,174.0
1897-01-01,Glenn,M,171.0
1898-01-01,Glenn,M,178.0
1899-01-01,Glenn,M,161.0
1900-01-01,Glenn,M,194.0
1901-01-01,Glenn,M,180.0
1902-01-01,Glenn,M,185.0
1903-01-01,Glenn,M,198.0
1904-01-01,Glenn,M,217.0
1905-01-01,Glenn,M,189.0
1906-01-01,Glenn,M,217.0
1907-01-01,Glenn,M,234.0
1908-01-01,Glenn,M,247.0
1909-01-01,Glenn,M,261.0
1910-01-01,Glenn,M,349.0
1911-01-01,Glenn,M,343.0
1912-01-01,Glenn,M,948.0
1913-01-01,Glenn,M,1122.0
1914-01-01,Glenn,M,1327.0
1915-01-01,Glenn,M,1842.0
1916-01-01,Glenn,M,1970.0
1917-01-01,Glenn,M,1997.0
1918-01-01,Glenn,M,2253.0
1919-01-01,Glenn,M,2153.0
1920-01-01,Glenn,M,2375.0
1921-01-01,Glenn,M,2449.0
1922-01-01,Glenn,M,2425.0
1923-01-01,Glenn,M,2370.0
1924-01-01,Glenn,M,2586.0
1925-01-01,Glenn,M,2611.0
1926-01-01,Glenn,M,2635.0
1927-01-01,Glenn,M,2670.0
1928-01-01,Glenn,M,2602.0
1929-01-01,Glenn,M,2433.0
1930-01-01,Glenn,M,2758.0
1931-01-01,Glenn,M,2625.0
1932-01-01,Glenn,M,2435.0
1933-01-01,Glenn,M,2366.0
1934-01-01,Glenn,M,2341.0
1935-01-01,Glenn,M,2437.0
1936-01-01,Glenn,M,2328.0
1937-01-01,Glenn,M,2263.0
1938-01-01,Glenn,M,2367.0
1939-01-01,Glenn,M,2302.0
1940-01-01,Glenn,M,2465.0
1941-01-01,Glenn,M,2523.0
1942-01-01,Glenn,M,2889.0
1943-01-01,Glenn,M,3051.0
1944-01-01,Glenn,M,2850.0
1945-01-01,Glenn,M,2731.0
1946-01-01,Glenn,M,3894.0
1947-01-01,Glenn,M,5154.0
1948-01-01,Glenn,M,4741.0
1949-01-01,Glenn,M,5414.0
1950-01-01,Glenn,M,5467.0
1951-01-01,Glenn,M,5800.0
1952-01-01,Glenn,M,5946.0
1953-01-01,Glenn,M,5729.0
1954-01-01,Glenn,M,6243.0
1955-01-01,Glenn,M,6261.0
1956-01-01,Glenn,M,6193.0
1957-01-01,Glenn,M,6268.0
1958-01-01,Glenn,M,5453.0
1959-01-01,Glenn,M,5346.0
1960-01-01,Glenn,M,5563.0
1961-01-01,Glenn,M,6268.0
1962-01-01,Glenn,M,7361.0
1963-01-01,Glenn,M,5971.0
1964-01-01,Glenn,M,4750.0
1965-01-01,Glenn,M,4360.0
1966-01-01,Glenn,M,3666.0
1967-01-01,Glenn,M,3442.0
1968-01-01,Glenn,M,3245.0
1969-01-01,Glenn,M,3468.0
1970-01-01,Glenn,M,3008.0
1971-01-01,Glenn,M,2476.0
1972-01-01,Glenn,M,1980.0
1973-01-01,Glenn,M,1701.0
1974-01-01,Glenn,M,1544.0
1975-01-01,Glenn,M,1384.0
1976-01-01,Glenn,M,1318.0
1977-01-01,Glenn,M,1244.0
1978-01-01,Glenn,M,1121.0
1979-01-01,Glenn,M,1117.0
1980-01-01,Glenn,M,1145.0
1981-01-01,Glenn,M,1107.0
1982-01-01,Glenn,M,1088.0
1983-01-01,Glenn,M,1016.0
1984-01-01,Glenn,M,1023.0
1985-01-01,Glenn,M,1004.0
1986-01-01,Glenn,M,982.0
1987-01-01,Glenn,M,987.0
1988-01-01,Glenn,M,925.0
1989-01-01,Glenn,M,912.0
1990-01-01,Glenn,M,854.0
1991-01-01,Glenn,M,842.0
1992-01-01,Glenn,M,696.0
1993-01-01,Glenn,M,653.0
1994-01-01,Glenn,M,553.0
1995-01-01,Glenn,M,529.0
1996-01-01,Glenn,M,483.0
1997-01-01,Glenn,M,461.0
1998-01-01,Glenn,M,440.0
1999-01-01,Glenn,M,397.0
2000-01-01,Glenn,M,335.0
2001-01-01,Glenn,M,302.0
2002-01-01,Glenn,M,321.0
2003-01-01,Glenn,M,296.0
2004-01-01,Glenn,M,296.0
2005-01-01,Glenn,M,261.0
2006-01-01,Glenn,M,237.0
2007-01-01,Glenn,M,260.0
2008-01-01,Glenn,M,246.0
2009-01-01,Glenn,M,175.0
2010-01-01,Glenn,M,189.0
2011-01-01,Glenn,M,163.0
2012-01-01,Glenn,M,181.0
2013-01-01,Glenn,M,163.0
2014-01-01,Glenn,M,161.0
2015-01-01,Glenn,M,165.0
2016-01-01,Glenn,M,173.0
2017-01-01,Glenn,M,142.0
2018-01-01,Glenn,M,150.0
2019-01-01,Glenn,M,127.0
2020-01-01,Glenn,M,119.0
2021-12-31,Glenn,M,132.19838905868232
2022-12-31,Glenn,M,125.70088792459657
2023-12-31,Glenn,M,128.89957534013942
2024-12-31,Glenn,M,127.32487747226565
2025-12-31,Glenn,M,128.10009338209076
2026-12-31,Glenn,M,127.71845845446022
2027-12-31,Glenn,M,127.9063354267226
2028-12-31,Glenn,M,127.81384452992332
2029-12-31,Glenn,M,127.8593773373117
2030-12-31,Glenn,M,127.83696176323453
2031-12-31,Glenn,M,127.84799683860167
2032-12-31,Glenn,M,127.8425643260129
2033-12-31,Glenn,M,127.845238724877
2034-12-31,Glenn,M,127.84392213164921
2035-12-31,Glenn,M,127.84457028393149
2036-12-31,Glenn,M,127.84425120179424
1881-01-01,Dale,M,6.0
1882-01-01,Dale,M,7.0
1883-01-01,Dale,M,11.0
1884-01-01,Dale,M,10.0
1885-01-01,Dale,M,25.0
1886-01-01,Dale,M,17.0
1887-01-01,Dale,M,11.0
1888-01-01,Dale,M,15.0
1889-01-01,Dale,M,19.0
1890-01-01,Dale,M,14.0
1891-01-01,Dale,M,17.0
1892-01-01,Dale,M,22.0
1893-01-01,Dale,M,18.0
1894-01-01,Dale,M,28.0
1895-01-01,Dale,M,26.0
1896-01-01,Dale,M,36.0
1897-01-01,Dale,M,39.0
1898-01-01,Dale,M,40.0
1899-01-01,Dale,M,41.0
1900-01-01,Dale,M,54.0
1901-01-01,Dale,M,40.0
1902-01-01,Dale,M,63.0
1903-01-01,Dale,M,56.0
1904-01-01,Dale,M,53.0
1905-01-01,Dale,M,65.0
1906-01-01,Dale,M,66.0
1907-01-01,Dale,M,73.0
1908-01-01,Dale,M,100.0
1909-01-01,Dale,M,102.0
1910-01-01,Dale,M,125.0
1911-01-01,Dale,M,150.0
1912-01-01,Dale,M,371.0
1913-01-01,Dale,M,472.0
1914-01-01,Dale,M,691.0
1915-01-01,Dale,M,1081.0
1916-01-01,Dale,M,1161.0
1917-01-01,Dale,M,1248.0
1918-01-01,Dale,M,1491.0
1919-01-01,Dale,M,1428.0
1920-01-01,Dale,M,1680.0
1921-01-01,Dale,M,1956.0
1922-01-01,Dale,M,2041.0
1923-01-01,Dale,M,2173.0
1924-01-01,Dale,M,2396.0
1925-01-01,Dale,M,2301.0
1926-01-01,Dale,M,2398.0
1927-01-01,Dale,M,2504.0
1928-01-01,Dale,M,2638.0
1929-01-01,Dale,M,2663.0
1930-01-01,Dale,M,2994.0
1931-01-01,Dale,M,3009.0
1932-01-01,Dale,M,3139.0
1933-01-01,Dale,M,2925.0
1934-01-01,Dale,M,3242.0
1935-01-01,Dale,M,3272.0
1936-01-01,Dale,M,3393.0
1937-01-01,Dale,M,3339.0
1938-01-01,Dale,M,3690.0
1939-01-01,Dale,M,3531.0
1940-01-01,Dale,M,3699.0
1941-01-01,Dale,M,3788.0
1942-01-01,Dale,M,3863.0
1943-01-01,Dale,M,4233.0
1944-01-01,Dale,M,3989.0
1945-01-01,Dale,M,3958.0
1946-01-01,Dale,M,5023.0
1947-01-01,Dale,M,5935.0
1948-01-01,Dale,M,6089.0
1949-01-01,Dale,M,6228.0
1950-01-01,Dale,M,6787.0
1951-01-01,Dale,M,6963.0
1952-01-01,Dale,M,7416.0
1953-01-01,Dale,M,7346.0
1954-01-01,Dale,M,7441.0
1955-01-01,Dale,M,7179.0
1956-01-01,Dale,M,7713.0
1957-01-01,Dale,M,7871.0
1958-01-01,Dale,M,8493.0
1959-01-01,Dale,M,8340.0
1960-01-01,Dale,M,7684.0
1961-01-01,Dale,M,7188.0
1962-01-01,Dale,M,6368.0
1963-01-01,Dale,M,5695.0
1964-01-01,Dale,M,5160.0
1965-01-01,Dale,M,4401.0
1966-01-01,Dale,M,3983.0
1967-01-01,Dale,M,3538.0
1968-01-01,Dale,M,3259.0
1969-01-01,Dale,M,3155.0
1970-01-01,Dale,M,3003.0
1971-01-01,Dale,M,2545.0
1972-01-01,Dale,M,2064.0
1973-01-01,Dale,M,1803.0
1974-01-01,Dale,M,1691.0
1975-01-01,Dale,M,1530.0
1976-01-01,Dale,M,1481.0
1977-01-01,Dale,M,1360.0
1978-01-01,Dale,M,1324.0
1979-01-01,Dale,M,1278.0
1980-01-01,Dale,M,1237.0
1981-01-01,Dale,M,1250.0
1982-01-01,Dale,M,1134.0
1983-01-01,Dale,M,1095.0
1984-01-01,Dale,M,1033.0
1985-01-01,Dale,M,1094.0
1986-01-01,Dale,M,980.0
1987-01-01,Dale,M,930.0
1988-01-01,Dale,M,882.0
1989-01-01,Dale,M,854.0
1990-01-01,Dale,M,907.0
1991-01-01,Dale,M,758.0
1992-01-01,Dale,M,704.0
1993-01-01,Dale,M,641.0
1994-01-01,Dale,M,650.0
1995-01-01,Dale,M,570.0
1996-01-01,Dale,M,554.0
1997-01-01,Dale,M,503.0
1998-01-01,Dale,M,483.0
1999-01-01,Dale,M,441.0
2000-01-01,Dale,M,407.0
2001-01-01,Dale,M,612.0
2002-01-01,Dale,M,466.0
2003-01-01,Dale,M,408.0
2004-01-01,Dale,M,353.0
2005-01-01,Dale,M,323.0
2006-01-01,Dale,M,289.0
2007-01-01,Dale,M,284.0
2008-01-01,Dale,M,260.0
2009-01-01,Dale,M,225.0
2010-01-01,Dale,M,190.0
2011-01-01,Dale,M,166.0
2012-01-01,Dale,M,163.0
2013-01-01,Dale,M,146.0
2014-01-01,Dale,M,181.0
2015-01-01,Dale,M,177.0
2016-01-01,Dale,M,173.0
2017-01-01,Dale,M,150.0
2018-01-01,Dale,M,127.0
2019-01-01,Dale,M,118.0
2020-01-01,Dale,M,130.0
2021-12-31,Dale,M,129.55877075474805
2022-12-31,Dale,M,129.17861771871986
2023-12-31,Dale,M,128.85108654902388
2024-12-31,Dale,M,128.56889317699864
2025-12-31,Dale,M,128.3257618155197
2026-12-31,Dale,M,128.11628538979662
2027-12-31,Dale,M,127.93580528773653
2028-12-31,Dale,M,127.78030775560526
2029-12-31,Dale,M,127.64633463489601
2030-12-31,Dale,M,127.53090645525504
2031-12-31,Dale,M,127.43145617310371
2032-12-31,Dale,M,127.34577208234926
2033-12-31,Dale,M,127.27194862755759
2034-12-31,Dale,M,127.20834402570688
2035-12-31,Dale,M,127.15354375405873
2036-12-31,Dale,M,127.1063290921423
1880-01-01,Roger,M,25.0
1881-01-01,Roger,M,29.0
1882-01-01,Roger,M,32.0
1883-01-01,Roger,M,23.0
1884-01-01,Roger,M,39.0
1885-01-01,Roger,M,27.0
1886-01-01,Roger,M,32.0
1887-01-01,Roger,M,39.0
1888-01-01,Roger,M,47.0
1889-01-01,Roger,M,49.0
1890-01-01,Roger,M,52.0
1891-01-01,Roger,M,55.0
1892-01-01,Roger,M,55.0
1893-01-01,Roger,M,49.0
1894-01-01,Roger,M,58.0
1895-01-01,Roger,M,69.0
1896-01-01,Roger,M,70.0
1897-01-01,Roger,M,58.0
1898-01-01,Roger,M,74.0
1899-01-01,Roger,M,67.0
1900-01-01,Roger,M,81.0
1901-01-01,Roger,M,60.0
1902-01-01,Roger,M,73.0
1903-01-01,Roger,M,86.0
1904-01-01,Roger,M,91.0
1905-01-01,Roger,M,73.0
1906-01-01,Roger,M,94.0
1907-01-01,Roger,M,127.0
1908-01-01,Roger,M,115.0
1909-01-01,Roger,M,128.0
1910-01-01,Roger,M,176.0
1911-01-01,Roger,M,241.0
1912-01-01,Roger,M,464.0
1913-01-01,Roger,M,565.0
1914-01-01,Roger,M,816.0
1915-01-01,Roger,M,1086.0
1916-01-01,Roger,M,1087.0
1917-01-01,Roger,M,1249.0
1918-01-01,Roger,M,1426.0
1919-01-01,Roger,M,1298.0
1920-01-01,Roger,M,1691.0
1921-01-01,Roger,M,1803.0
1922-01-01,Roger,M,1848.0
1923-01-01,Roger,M,1889.0
1924-01-01,Roger,M,2054.0
1925-01-01,Roger,M,2099.0
1926-01-01,Roger,M,2261.0
1927-01-01,Roger,M,2408.0
1928-01-01,Roger,M,2774.0
1929-01-01,Roger,M,2928.0
1930-01-01,Roger,M,3246.0
1931-01-01,Roger,M,3624.0
1932-01-01,Roger,M,3788.0
1933-01-01,Roger,M,3917.0
1934-01-01,Roger,M,4766.0
1935-01-01,Roger,M,5151.0
1936-01-01,Roger,M,5701.0
1937-01-01,Roger,M,5710.0
1938-01-01,Roger,M,6554.0
1939-01-01,Roger,M,7153.0
1940-01-01,Roger,M,7599.0
1941-01-01,Roger,M,8093.0
1942-01-01,Roger,M,9174.0
1943-01-01,Roger,M,10766.0
1944-01-01,Roger,M,10581.0
1945-01-01,Roger,M,10572.0
1946-01-01,Roger,M,12411.0
1947-01-01,Roger,M,12759.0
1948-01-01,Roger,M,12817.0
1949-01-01,Roger,M,12823.0
1950-01-01,Roger,M,12551.0
1951-01-01,Roger,M,12423.0
1952-01-01,Roger,M,12130.0
1953-01-01,Roger,M,13171.0
1954-01-01,Roger,M,11721.0
1955-01-01,Roger,M,10973.0
1956-01-01,Roger,M,10146.0
1957-01-01,Roger,M,9863.0
1958-01-01,Roger,M,8369.0
1959-01-01,Roger,M,8789.0
1960-01-01,Roger,M,9037.0
1961-01-01,Roger,M,9656.0
1962-01-01,Roger,M,9072.0
1963-01-01,Roger,M,7748.0
1964-01-01,Roger,M,7385.0
1965-01-01,Roger,M,6431.0
1966-01-01,Roger,M,6298.0
1967-01-01,Roger,M,5720.0
1968-01-01,Roger,M,5184.0
1969-01-01,Roger,M,4909.0
1970-01-01,Roger,M,4584.0
1971-01-01,Roger,M,4132.0
1972-01-01,Roger,M,3535.0
1973-01-01,Roger,M,3156.0
1974-01-01,Roger,M,2754.0
1975-01-01,Roger,M,2619.0
1976-01-01,Roger,M,2465.0
1977-01-01,Roger,M,2313.0
1978-01-01,Roger,M,2142.0
1979-01-01,Roger,M,2027.0
1980-01-01,Roger,M,2076.0
1981-01-01,Roger,M,2244.0
1982-01-01,Roger,M,2166.0
1983-01-01,Roger,M,1870.0
1984-01-01,Roger,M,1717.0
1985-01-01,Roger,M,1706.0
1986-01-01,Roger,M,1609.0
1987-01-01,Roger,M,1559.0
1988-01-01,Roger,M,1578.0
1989-01-01,Roger,M,1475.0
1990-01-01,Roger,M,1457.0
1991-01-01,Roger,M,1294.0
1992-01-01,Roger,M,1439.0
1993-01-01,Roger,M,1132.0
1994-01-01,Roger,M,1071.0
1995-01-01,Roger,M,1002.0
1996-01-01,Roger,M,956.0
1997-01-01,Roger,M,804.0
1998-01-01,Roger,M,768.0
1999-01-01,Roger,M,731.0
2000-01-01,Roger,M,701.0
2001-01-01,Roger,M,719.0
2002-01-01,Roger,M,676.0
2003-01-01,Roger,M,664.0
2004-01-01,Roger,M,630.0
2005-01-01,Roger,M,644.0
2006-01-01,Roger,M,594.0
2007-01-01,Roger,M,582.0
2008-01-01,Roger,M,598.0
2009-01-01,Roger,M,548.0
2010-01-01,Roger,M,503.0
2011-01-01,Roger,M,477.0
2012-01-01,Roger,M,459.0
2013-01-01,Roger,M,475.0
2014-01-01,Roger,M,477.0
2015-01-01,Roger,M,477.0
2016-01-01,Roger,M,409.0
2017-01-01,Roger,M,415.0
2018-01-01,Roger,M,412.0
2019-01-01,Roger,M,359.0
2020-01-01,Roger,M,372.0
2021-12-31,Roger,M,362.08600172674414
2022-12-31,Roger,M,352.87325116053415
2023-12-31,Roger,M,344.312146885969
2024-12-31,Roger,M,336.3565959489018
2025-12-31,Roger,M,328.9637656921433
2026-12-31,Roger,M,322.09385314459155
2027-12-31,Roger,M,315.7098707221814
2028-12-31,Roger,M,309.7774470868665
2029-12-31,Roger,M,304.2646420914612
